grid_id,lat,lon,geom,prediction
1,33.722693642030286,-118.31518590559031,"POLYGON((-118.3205629134282 33.71817195965206,-118.3097750682837 33.71820022592899,-118.3098083182022 33.727215164684345,-118.320597321252 33.727186895335784,-118.3205629134282 33.71817195965206))",7.837339895604393
2,33.72272142605841,-118.30439747791428,"POLYGON((-118.3097750682837 33.71820022592899,-118.29898721600296 33.71822752468899,-118.29901930801385 33.72724246641083,-118.3098083182022 33.727215164684345,-118.3097750682837 33.71820022592899))",8.946313886256098
3,33.72274824251655,-118.29360904322508,"POLYGON((-118.29898721600296 33.71822752468899,-118.28819935683444 33.7182538559311,-118.28823029093556 33.72726880051429,-118.29901930801385 33.72724246641083,-118.29898721600296 33.71822752468899))",11.780543162469481
4,33.73165010808576,-118.33679888746599,"POLYGON((-118.34217530494158 33.72712745377649,-118.33138631691465 33.72715765836617,-118.33142189027707 33.73617260275903,-118.34221203645303 33.73614239488747,-118.34217530494158 33.72712745377649))",6.318059386981078
5,33.731679830480196,-118.32600931653586,"POLYGON((-118.33138631691465 33.72715765836617,-118.320597321252 33.727186895335784,-118.3206317364629 33.73620184290537,-118.33142189027707 33.73617260275903,-118.33138631691465 33.72715765836617))",7.072555374885536
6,33.7317085852015,-118.31521973809308,"POLYGON((-118.320597321252 33.727186895335784,-118.3098083182022 33.727215164684345,-118.30984157525924 33.73623011532549,-118.3206317364629 33.73620184290537,-118.320597321252 33.727186895335784))",8.247040886389653
7,33.73173637224866,-118.30443015238623,"POLYGON((-118.3098083182022 33.727215164684345,-118.29901930801385 33.72724246641083,-118.29905140691473 33.73625742001844,-118.30984157525924 33.73623011532549,-118.3098083182022 33.727215164684345))",10.140441752575557
8,33.7317631916207,-118.29364055966408,"POLYGON((-118.29901930801385 33.72724246641083,-118.28823029093556 33.72726880051429,-118.28826123167804 33.7362837569832,-118.29905140691473 33.73625742001844,-118.29901930801385 33.72724246641083))",18.367765278769856
9,33.74063436327785,-118.34762576522542,"POLYGON((-118.35300217474214 33.73611121929181,-118.34221203645303 33.73614239488747,-118.34224877585133 33.745157347663195,-118.3530400725356 33.745126168680564,-118.35300217474214 33.73611121929181))",5.795259521291213
10,33.74066505667879,-118.3368350437844,"POLYGON((-118.34221203645303 33.73614239488747,-118.33142189027707 33.73617260275903,-118.33145747127767 33.74518755881655,-118.34224877585133 33.745157347663195,-118.34221203645303 33.73614239488747))",6.262801691983366
11,33.740694782302505,-118.32604431457963,"POLYGON((-118.33142189027707 33.73617260275903,-118.3206317364629 33.73620184290537,-118.32066615906336 33.74521680213959,-118.33145747127767 33.74518755881655,-118.33142189027707 33.73617260275903))",7.153018308131103
12,33.74072354014793,-118.31525357785978,"POLYGON((-118.3206317364629 33.73620184290537,-118.30984157525924 33.73623011532549,-118.30987483945714 33.74524507763126,-118.32066615906336 33.74521680213959,-118.3206317364629 33.73620184290537))",8.43989643116606
13,33.74075133021409,-118.30446283387363,"POLYGON((-118.30984157525924 33.73623011532549,-118.29905140691473 33.73625742001844,-118.29908351270777 33.7452723852906,-118.30987483945714 33.74524507763126,-118.30984157525924 33.73623011532549))",10.895815925843253
14,33.74077815249999,-118.29367208286979,"POLYGON((-118.29905140691473 33.73625742001844,-118.28826123167804 33.7362837569832,-118.28829217906402 33.74529872511664,-118.29908351270777 33.7452723852906,-118.29905140691473 33.73625742001844))",19.659203779761903
15,33.749481318217214,-118.40162236243576,"POLYGON((-118.40699642890993 33.7449557563677,-118.39620517540382 33.74499177447965,-118.39624771588407 33.7540067207129,-118.40704012802018 33.75397069868838,-118.40699642890993 33.7449557563677))",6.137184516521663
16,33.749516854347576,-118.39083052503712,"POLYGON((-118.39620517540382 33.74499177447965,-118.38541391276459 33.745026824768104,-118.38545529461189 33.75404177480881,-118.39624771588407 33.7540067207129,-118.39620517540382 33.74499177447965))",5.990949051243893
17,33.74955142260132,-118.38003867862824,"POLYGON((-118.38541391276459 33.745026824768104,-118.37462264124099 33.74506090723188,-118.37466286445247 33.754075860974915,-118.38545529461189 33.75404177480881,-118.38541391276459 33.745026824768104))",5.923133786248469
18,33.749585022977165,-118.36924682345798,"POLYGON((-118.37462264124099 33.74506090723188,-118.36383136108174 33.74509402186976,-118.36387042565465 33.75410897920996,-118.37466286445247 33.754075860974915,-118.37462264124099 33.74506090723188))",5.69749865045024
19,33.74961765547397,-118.35845495977509,"POLYGON((-118.36383136108174 33.74509402186976,-118.3530400725356 33.745126168680564,-118.35307797846721 33.75414112951281,-118.36387042565465 33.75410897920996,-118.36383136108174 33.74509402186976))",6.334320680860813
20,33.74964932009058,-118.34766308782831,"POLYGON((-118.3530400725356 33.745126168680564,-118.34224877585133 33.745157347663195,-118.34228552313903 33.75417231188237,-118.35307797846721 33.75414112951281,-118.3530400725356 33.745126168680564))",6.330127630532658
21,33.7496800168259,-118.33687120786655,"POLYGON((-118.34224877585133 33.745157347663195,-118.33145747127767 33.74518755881655,-118.33149305991893 33.75420252631753,-118.34228552313903 33.75417231188237,-118.34224877585133 33.745157347663195))",6.216362130322803
22,33.74970974567885,-118.32607932013849,"POLYGON((-118.33145747127767 33.74518755881655,-118.32066615906336 33.74521680213959,-118.32070058905569 33.75423177281717,-118.33149305991893 33.75420252631753,-118.33145747127767 33.74518755881655))",7.077616293097526
